6.00,193.00,6.00,166.00,49.00,166.00,49.00,193.00
7.00,192.00,7.00,168.00,50.00,168.00,50.00,192.00
10.00,192.00,10.00,168.00,54.00,168.00,54.00,192.00
12.00,192.00,12.00,166.00,54.00,166.00,54.00,192.00
12.00,191.00,12.00,167.00,57.00,167.00,57.00,191.00
13.00,192.00,13.00,169.00,58.00,169.00,58.00,192.00
15.00,194.00,15.00,168.00,60.00,168.00,60.00,194.00
16.00,195.00,16.00,168.00,61.00,168.00,61.00,195.00
20.00,193.00,20.00,169.00,64.00,169.00,64.00,193.00
19.00,194.00,19.00,169.00,65.00,169.00,65.00,194.00
20.00,193.00,20.00,168.00,66.00,168.00,66.00,193.00
21.00,194.00,21.00,168.00,67.00,168.00,67.00,194.00
23.00,193.00,23.00,169.00,67.00,169.00,67.00,193.00
25.00,194.00,25.00,170.00,71.00,170.00,71.00,194.00
24.00,193.00,24.00,170.00,71.00,170.00,71.00,193.00
26.00,195.00,26.00,169.00,71.00,169.00,71.00,195.00
28.00,194.00,28.00,170.00,72.00,170.00,72.00,194.00
29.00,196.00,29.00,170.00,74.00,170.00,74.00,196.00
30.00,197.00,30.00,171.00,76.00,171.00,76.00,197.00
31.00,196.00,31.00,168.00,79.00,168.00,79.00,196.00
33.00,196.00,33.00,170.00,79.00,170.00,79.00,196.00
37.00,196.00,37.00,171.00,81.00,171.00,81.00,196.00
36.00,196.00,36.00,171.00,85.00,171.00,85.00,196.00
40.00,195.00,40.00,173.00,85.00,173.00,85.00,195.00
42.00,196.00,42.00,172.00,87.00,172.00,87.00,196.00
42.00,197.00,42.00,171.00,89.00,171.00,89.00,197.00
44.00,198.00,44.00,172.00,91.00,172.00,91.00,198.00
45.00,196.00,45.00,171.00,90.00,171.00,90.00,196.00
46.00,198.00,46.00,172.00,91.00,172.00,91.00,198.00
46.00,197.00,46.00,173.00,94.00,173.00,94.00,197.00
47.00,198.00,47.00,173.00,94.00,173.00,94.00,198.00
47.00,199.00,47.00,173.00,96.00,173.00,96.00,199.00
49.00,198.00,49.00,173.00,96.00,173.00,96.00,198.00
51.00,199.00,51.00,172.00,97.00,172.00,97.00,199.00
52.00,198.00,52.00,172.00,98.00,172.00,98.00,198.00
52.00,199.00,52.00,171.00,99.00,171.00,99.00,199.00
52.00,199.00,52.00,172.00,99.00,172.00,99.00,199.00
54.00,199.00,54.00,171.00,101.00,171.00,101.00,199.00
54.00,200.00,54.00,172.00,102.00,172.00,102.00,200.00
55.00,198.00,55.00,173.00,105.00,173.00,105.00,198.00
56.00,199.00,56.00,172.00,104.00,172.00,104.00,199.00
57.00,200.00,57.00,172.00,104.00,172.00,104.00,200.00
59.00,197.00,59.00,172.00,108.00,172.00,108.00,197.00
61.00,199.00,61.00,173.00,108.00,173.00,108.00,199.00
64.00,198.00,64.00,173.00,108.00,173.00,108.00,198.00
62.00,198.00,62.00,171.00,111.00,171.00,111.00,198.00
64.00,198.00,64.00,173.00,112.00,173.00,112.00,198.00
65.00,198.00,65.00,173.00,114.00,173.00,114.00,198.00
67.00,197.00,67.00,172.00,113.00,172.00,113.00,197.00
68.00,199.00,68.00,170.00,118.00,170.00,118.00,199.00
70.00,198.00,70.00,171.00,118.00,171.00,118.00,198.00
71.00,198.00,71.00,170.00,119.00,170.00,119.00,198.00
72.00,197.00,72.00,171.00,120.00,171.00,120.00,197.00
73.00,199.00,73.00,172.00,122.00,172.00,122.00,199.00
72.00,198.00,72.00,171.00,123.00,171.00,123.00,198.00
73.00,198.00,73.00,172.00,124.00,172.00,124.00,198.00
76.00,197.00,76.00,171.00,124.00,171.00,124.00,197.00
76.00,198.00,76.00,171.00,125.00,171.00,125.00,198.00
78.00,197.00,78.00,170.00,129.00,170.00,129.00,197.00
79.00,198.00,79.00,170.00,129.00,170.00,129.00,198.00
79.00,199.00,79.00,171.00,130.00,171.00,130.00,199.00
78.00,201.00,78.00,172.00,132.00,172.00,132.00,201.00
80.00,200.00,80.00,172.00,131.00,172.00,131.00,200.00
80.00,199.00,80.00,172.00,132.00,172.00,132.00,199.00
81.00,199.00,81.00,171.00,134.00,171.00,134.00,199.00
81.00,200.00,81.00,170.00,133.00,170.00,133.00,200.00
82.00,200.00,82.00,172.00,133.00,172.00,133.00,200.00
81.00,200.00,81.00,173.00,133.00,173.00,133.00,200.00
80.00,201.00,80.00,172.00,135.00,172.00,135.00,201.00
81.00,200.00,81.00,172.00,134.00,172.00,134.00,200.00
81.00,199.00,81.00,175.00,134.00,175.00,134.00,199.00
79.00,200.00,79.00,173.00,135.00,173.00,135.00,200.00
81.00,201.00,81.00,175.00,135.00,175.00,135.00,201.00
83.00,199.00,83.00,174.00,135.00,174.00,135.00,199.00
81.00,200.00,81.00,174.00,135.00,174.00,135.00,200.00
